portuguese,hebrew,part_of_speech,explaination,,,,
a espera de,מחכה ל,אחר,,,,,
Abandonar,לנטוש,פועל,,,,,
abelha,דבורה,שם עצם,,,,,
Aberto,פתוח,שם תואר,,,,,
Abertura,פתיחה,שם עצם,,,,,
abril,אפריל,שם עצם,,,,,
abrir,לפתוח,פועל,,,,,
acabar,לסיים,פועל,,,,,
Academia,אולם ספורט,שם עצם,,,,,
aceitar,להסכים,פועל,,,,,
achar,למצוא,פועל,,,,,
achar,לחשוב (ש...),פועל,,,,,
acontecer,לקרות,פועל,,,,,
acordar,להתעורר,פועל,,,,,
Acreditar,להאמין,פועל,,,,,
Acrescentar,להוסיף,פועל,,,,,
a??car,סוכר,שם עצם,,,,,
advogado,עורך דין,שם עצם,,,,,
aeroporto,שדה תעופה,שם עצם,,,,,
?frica,אפריקה,שם עצם,,,,,
agasalho,מעיל,שם עצם,,,,,
agasalhos,בגדי חורף,שם עצם,,,,,
agente,סוכן,שם עצם,,,,,
agosto,אוגוסט,שם עצם,,,,,
agradecer,להודות ל...,פועל,,,,,
?gua,מים,שם עצם,,,,,
a?,שם,אחר,,,,,
ajudar,לעזור,פועל,,,,,
?lcool,אלכוהול,שם עצם,,,,,
Alegria,שמחה,שם עצם,,,,,
Alemanha,גרמניה,שם עצם,,,,,
Alem?o,גרמני,שם תואר,,,,,
Alem?o,גרמני,שם תואר,,,,,
Alem?o,גרמנית (שפה),שם עצם,,,,,
ali,שם,אחר,,,,,
alimento,אוכל,שם עצם,,,,,
almo?o,ארוחת צהריים,שם עצם,,,,,
Alto,גבוה,שם תואר,,,,,
aluno,תלמיד,שם עצם,,,,,
amar,לאהוב,פועל,,,,,
amarelo,צהוב,שם תואר,,,,,
amargo,מר,שם תואר,,,,,
Am?rica,אמריקה,שם עצם,,,,,
amigo,חבר,שם עצם,,,,,
Amizade,חברות,שם עצם,,,,,
Amor,אהבה,שם עצם,,,,,
Amplo,מרווח,שם תואר,,,,,
Analisar,לבדוק,פועל,,,,,
andar,קומה,שם עצם,,,,,
andar,ללכת,פועל,,,,,
anivers?rio,יום הולדת,שם עצם,,,,,
ano,שנה,שם עצם,,,,,
Ansioso,חרד,שם תואר,,,,,
Ansioso,להוט,שם תואר,,,,,
Antigo,עתיק,שם תואר,,,,,
aparecer,להופיע,פועל,,,,,
aparelho,מערכת,שם עצם,,,,,
apartamento,דירה,שם עצם,,,,,
Apertado,צמוד,שם תואר,,,,,
Aplicar,ליישם,פועל,,,,,
apontar,להצביע,פועל,,,,,
aprender,ללמוד,פועל,,,,,
Apresenta??o,פרזנטציה,שם עצם,,,,,
